tblname,name,poly,incomeShared,senateIdShared
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-72.497765,42.389694</coordinates></Point>",0,6
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-72.673919,42.191837</coordinates></Point>",0,5
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-71.643802,42.294822</coordinates></Point>",0,10
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-73.219888,42.433341</coordinates></Point>",0,4
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-72.771746,42.053713</coordinates></Point>",0,5
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-72.8046,42.052648</coordinates></Point>",0,5
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-70.497305,41.661615</coordinates></Point>",484045,40
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-72.148411,42.111206</coordinates></Point>",0,8
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-73.392623,42.12396</coordinates></Point>",0,4
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-71.238329,42.161799</coordinates></Point>",0,31
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-73.219888,42.433341</coordinates></Point>",0,4
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-71.507087,42.562653</coordinates></Point>",0,14
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-70.72357,42.144966</coordinates></Point>",NA,34
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-71.970065,42.278073</coordinates></Point>",0,8
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-71.806528,42.107237</coordinates></Point>",0,12
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-72.81165,42.415755</coordinates></Point>",0,4
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-71.819868,42.261278</coordinates></Point>",NA,10
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-72.777987,42.127629</coordinates></Point>",42168,5
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-71.656696,42.587719</coordinates></Point>",0,14
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-73.139074,42.553374</coordinates></Point>",0,4
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-72.743944,42.420582</coordinates></Point>",0,4
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-71.656696,42.587719</coordinates></Point>",0,14
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-71.312929,42.054619</coordinates></Point>",0,17
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-72.498119,42.577371</coordinates></Point>",0,6
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-71.698296,42.619422</coordinates></Point>",0,9
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-70.679302,42.075206</coordinates></Point>",NA,34
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-72.673919,42.191837</coordinates></Point>",0,5
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-71.448062,42.460965</coordinates></Point>",0,14
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-71.413146,42.610867</coordinates></Point>",54696,13
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-72.497765,42.389694</coordinates></Point>",0,6
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-71.82527,42.171597</coordinates></Point>",0,11
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-71.212387,42.384729</coordinates></Point>",0,16
